fecha,titulo,autor(a),categoria,enlace
2022-12-20,La FDA de los Estados Unidos aprueba VRAYLAR® (cariprazina) como tratamiento adyuvante para el trastorno depresivo mayor,Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2022/12/21/la-fda-de-los-estados-unidos-aprueba-vraylar-cariprazina-como-tratamiento-adyuvante-para-el-trastorno-depresivo-mayor/
2023-03-10,“Lo tenían en el olvido”: Buscan devolverle la magia al balneario de Boquerón , Keisha R. Vera Soto,Noticias,https://www.metro.pr/noticias/2023/03/09/lo-tenian-en-el-olvido-buscan-devolverle-la-magia-al-balneario-de-boqueron/
2023-03-10,Alegan irregularidades en caso de exayudante del alcalde de San Sebastián, Agustin Criollo,Noticias,https://www.metro.pr/noticias/2023/03/10/alegan-irregularidades-en-caso-de-exayudante-del-alcalde-de-san-sebastian/
2023-03-10,Fallece conductor tras accidente en Aguadilla ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/fallece-conductor-tras-accidente-en-aguadilla/
2023-03-10,Matan a hombre de 28 años frente a colmado en Juana Díaz,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/matan-a-hombre-de-28-anos-frente-a-colmado-en-juana-diaz/
2023-03-10,Se roban 20 cilindros de gas en ferretería de Cidra ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/se-roban-20-cilindros-de-gas-en-ferreteria-de-cidra/
2023-03-10,Asesinan a dos jóvenes de 20 años en residencial de Yauco,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/asesinan-a-dos-jovenes-de-20-anos-en-residencial-de-yauco/
2023-03-09,Puntos básicos en la demanda contra Fox News sobre Trump,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/puntos-basicos-en-la-demanda-contra-fox-news-sobre-trump/
2023-03-09,GM ofrece retiro voluntario a trabajadores asalariados,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/gm-ofrece-retiro-voluntario-a-trabajadores-asalariados/
2023-03-09,Nicaragua: preocupa el cierre de dos universidades privadas,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/nicaragua-preocupa-el-cierre-de-dos-universidades-privadas/
2023-03-09,"Desaparece el fenómeno meteorológico “La Niña”, responsable de aumentar la actividad de huracanes en el Atlántico",AP,Noticias,https://www.metro.pr/noticias/2023/03/09/desaparece-el-fenomeno-meteorologico-la-nina-responsable-de-aumentar-la-actividad-de-huracanes-en-el-atlantico/
2023-03-09,ACT anuncia trabajos en el expreso Martínez Nadal,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/act-anuncia-trabajos-en-el-expreso-martinez-nadal/
2023-03-09,Burlington anuncia la apertura de nuevas tiendas en Puerto Rico,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/burlington-anuncia-la-apertura-de-nuevas-tiendas-en-puerto-rico/
2023-03-09,Buscan a sujeto que supuestamente timó a ocho personas con hacerles gabinetes,Cybernews,Noticias,https://www.metro.pr/noticias/2023/03/10/buscan-a-sujeto-que-supuestamente-timo-a-ocho-personas-con-hacerles-gabinetes/
2023-03-09,Cerrarán carril en la PR-52 por trabajos de rehabilitación,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/10/cerraran-carril-en-la-pr-52-por-trabajos-de-rehabilitacion/
2023-03-09,Mujer agrede con arma blanca a sexagenario en guagua pública en Santurce,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/09/mujer-agrede-con-arma-blanca-a-sexagenario-en-guagua-publica-en-santurce/
2023-03-09,A la vuelta de la esquina alianza del MVC y el PIP, Nilda Núñez Lamboy,Noticias,https://www.metro.pr/noticias/2023/03/09/a-la-vuelta-de-la-esquina-alianza-del-mvc-y-el-pip/
2023-03-08,Detienen a varias personas de estatus migratorio no definido en playa de Vega Baja,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/detienen-a-varias-personas-de-estatus-migratorio-no-definido-en-playa-de-vega-baja/
2023-03-08,ONU: Afganistán es el país más represivo para las mujeres,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/onu-afganistan-es-el-pais-mas-represivo-para-las-mujeres/
2023-03-08,Policía cierra caso de Celivelys Rivera y al momento descarta que se trate de violencia doméstica,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/policia-cierra-caso-de-celivelys-rivera-y-al-momento-descarta-que-se-trate-de-violencia-domestica/
2023-03-08,Se roban hasta un juego de ollas de residencia en Salinas,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/se-roban-hasta-un-juego-de-ollas-de-residencia-en-salinas/
2023-03-08,Gobierno busca empresa privada que construya y opere nueva planta de generación de energía ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/gobierno-busca-empresa-privada-que-construya-y-opere-nueva-planta-de-generacion-de-energia/
2023-03-08,Vinculan a “Bubu” con varios delitos pero al momento no tiene expediente criminal,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/vinculan-a-bubu-con-varios-delitos-pero-al-momento-no-tiene-expediente-criminal/
2023-03-08,Biden busca reducir déficit en casi 3 billones de dólares,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/biden-busca-reducir-deficit-en-casi-3-billones-de-dolares/
2023-03-08,Senado de EEUU bloquea leyes de D.C. contra delincuencia,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/senado-de-eeuu-bloquea-leyes-de-dc-contra-delincuencia/
2023-03-08,Amiga avisó a policía de estadounidenses plagiados en México,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/amiga-aviso-a-policia-de-estadounidenses-plagiados-en-mexico/
2023-03-08,Primer ministro polaco defiende a San Juan Pablo II,AP,Noticias,https://www.metro.pr/noticias/2023/03/09/primer-ministro-polaco-defiende-a-san-juan-pablo-ii/
2023-03-08,Wall Street cierra mixta un día después de fuerte caída,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/wall-street-cierra-mixta-un-dia-despues-de-fuerte-caida/
2023-03-08,Cargos contra sujetos que dispararon contra varios agentes en el expreso PR-53,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/09/cargos-contra-sujetos-que-dispararon-contra-varios-agentes-en-el-expreso-pr-53/
2023-03-08,Arrestan a hombre que realizó disparos al aire para ahuyentar gallinas en Aguas Buenas,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/arrestan-a-hombre-que-realizo-disparos-al-aire-para-ahuyentar-gallinas-en-aguas-buenas/
2023-03-08,Buscan a hombre de 41 años por asesinato en Gurabo,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/09/buscan-a-hombre-de-41-anos-por-asesinato-en-gurabo/
2023-03-08,Joe Biden propone impuesto a los ricos para salvar el Medicare,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/joe-biden-propone-impuesto-a-los-ricos-para-salvar-el-medicare/
2023-03-08,PFEI archiva caso contra el alcalde de Aguadilla,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/pfei-archiva-caso-contra-el-alcalde-de-aguadilla/
2023-03-08,Intervienen con 60 personas que pretendían entrar ilegalmente por las costas Aguadilla ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/intervienen-con-60-personas-que-pretendian-entrar-ilegalmente-por-las-costas-aguadilla/
2023-03-08,Pierluisi pide a Salud federal que retrase implantación de tarifas de planes Advantage y evitar millonario recorte ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/pierluisi-pide-a-salud-federal-que-retrase-implantacion-de-tarifas-de-planes-advantage-y-evitar-millonario-recorte/
2023-03-08,Buscan fondos federales para realizar mejoras a la infraestructura portuaria de San Juan,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/buscan-fondos-federales-para-realizar-mejoras-a-la-infraestructura-portuaria-de-san-juan/
2023-03-08,Taiwán sospecha que barcos chinos cortaron internet a islas,AP,Noticias,https://www.metro.pr/noticias/2023/03/08/taiwan-sospecha-que-barcos-chinos-cortaron-internet-a-islas/
2023-03-08,Cargos contra hombre que entró a apartamento para robar mientras trabajaba sobre un andamio,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/cargos-contra-hombre-que-entro-a-apartamento-para-robar-mientras-trabajaba-sobre-un-andamio/
2023-03-08,Unidad 2 de la Central Aguirre entra en operación ,Cybernews,Noticias,https://www.metro.pr/noticias/2023/03/08/unidad-2-de-la-central-aguirre-entra-en-operacion/
2023-03-08,Estos son los municipios del oeste que están sin agua por avería en línea de aguas crudas en Mayagüez,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/03/08/estos-son-los-municipios-del-oeste-que-estan-sin-agua-por-averia-en-linea-de-aguas-crudas-en-mayaguez/
