fecha,titulo,enlace,autor
2023-02-23 00:00:00,Rumbo a Juana Díaz la próxima cartelera de Miguel Cotto Promotions,http://www.primerahora.com/deportes/boxeo/notas/rumbo-a-juana-diaz-la-proxima-cartelera-de-miguel-cotto-promotions/,Primera Hora
2023-02-23 00:00:00,Prichard Colón se disfruta una ‘bailadita’ con su hermana,http://www.primerahora.com/deportes/boxeo/notas/prichard-colon-se-disfruta-una-bailadita-con-su-hermana/,Primera Hora
2023-02-23 00:00:00,Exonerado por su dieta alta en huevos un boxeador positivo a dopaje,http://www.primerahora.com/deportes/boxeo/notas/exonerado-por-su-dieta-alta-en-huevos-un-boxeador-positivo-a-dopaje/,The Associated Press
2023-02-21 00:00:00,Canelo Álvarez regresará a México para pelear ante los suyos por primera vez en 12 años,http://www.primerahora.com/deportes/boxeo/notas/canelo-alvarez-regresara-a-mexico-para-pelear-ante-los-suyos-por-primera-vez-en-12-anos/,The Associated Press
2023-02-16 00:00:00,Edgar Berlanga tendrá que probar su valor antes de pelear contra Canelo Álvarez,http://www.primerahora.com/deportes/boxeo/notas/edgar-berlanga-tendra-que-probar-su-valor-antes-de-pelear-contra-canelo-alvarez/,Primera Hora
2023-02-14 00:00:00,Edgar Berlanga padre: “Las peleas grandes es lo que queremos y eso incluye a Canelo”,http://www.primerahora.com/deportes/boxeo/notas/edgar-berlanga-padre-las-peleas-grandes-es-lo-que-queremos-y-eso-incluye-a-canelo/,Carlos González
2023-02-14 00:00:00,Edgar Berlanga se une a la empresa que lo llevará a una pelea ante Saúl “Canelo” Álvarez,http://www.primerahora.com/deportes/boxeo/notas/edgar-berlanga-se-une-a-la-empresa-que-lo-llevara-a-un-combate-ante-saul-canelo-alvarez/,Primera Hora
2023-02-14 00:00:00,Organización Mundial de Boxeo subastará la pelea entre Oscar Collazo y Melvin Jerusalem ,http://www.primerahora.com/deportes/boxeo/notas/organizacion-mundial-de-boxeo-subastara-la-pelea-entre-oscar-collazo-y-melvin-jerusalem/,Primera Hora
2023-02-13 00:00:00,Tito Trinidad expresa su máxima admiración hacia Amanda Serrano,http://www.primerahora.com/deportes/boxeo/notas/tito-trinidad-expresa-su-maxima-admiracion-hacia-amanda-serrano/,Sara Del Valle Hernández
2023-02-13 00:00:00,Amanda Serrano: “Siento el cariño y el amor”,http://www.primerahora.com/deportes/boxeo/notas/amanda-serrano-siento-el-carino-y-el-amor/,Sara Del Valle Hernández
2023-02-13 00:00:00,¿Sigue siendo Tito Trinidad millonario o se quedó pela’o tras su acuerdo con Banco Popular?,http://www.primerahora.com/deportes/boxeo/notas/sigue-siendo-tito-trinidad-millonario-o-se-quedo-pelao-tras-su-acuerdo-con-banco-popular/,Fernando Ribas Reyes
2023-02-13 00:00:00,Edgar Berlanga decidirá prontamente quién será su próximo promotor,http://www.primerahora.com/deportes/boxeo/notas/edgar-berlanga-decidira-prontamente-quien-sera-su-proximo-promotor/,Primera Hora
2023-02-11 00:00:00,Jonathan González tendrá que viajar a Japón para unificar los cetros de las 108 libras,http://www.primerahora.com/deportes/boxeo/notas/jonathan-gonzalez-tendra-que-viajar-a-japon-para-unificar-los-cetros-de-las-108-libras/,Primera Hora
2023-02-11 00:00:00,El púgil boricua Emmanuel Rodríguez recupera su invicto de la manera menos convencional,http://www.primerahora.com/deportes/boxeo/notas/el-pugil-boricua-emmanuel-rodriguez-recupera-su-invicto-de-la-manera-menos-convencional/,Primera Hora
2023-02-10 00:00:00,Tito Trinidad y Banco Popular terminan las controversias,http://www.primerahora.com/deportes/boxeo/notas/tito-trinidad-y-banco-popular-ponen-fin-a-las-controversias/,Carlos González
2023-02-09 00:00:00,Danielito Zorrilla ya entrena para pelear en abril en Puerto Rico,http://www.primerahora.com/deportes/boxeo/notas/danielito-zorrilla-ya-entrena-para-pelear-en-abril-en-puerto-rico/,Carlos González
2023-02-07 00:00:00,Yankiel Rivera podría formar parte de la secuela entre Amanda Serrano y Katie Taylor,http://www.primerahora.com/deportes/boxeo/notas/yankiel-rivera-podria-formar-parte-de-la-secuela-entre-amanda-serrano-y-katie-taylor/,Carlos González
2023-02-07 00:00:00,José Pedraza tiene coraje con sí mismo por la pelea que le presentó a Arnold Barboza Jr.,http://www.primerahora.com/deportes/boxeo/notas/jose-pedraza-tiene-coraje-con-si-mismo-por-la-pelea-que-le-presento-a-arnold-barboza-jr/,Carlos González
2023-02-06 00:00:00,Serrano descansará unas semanitas antes de comenzar a entrenar para la revancha con Taylor,http://www.primerahora.com/deportes/boxeo/notas/serrano-descansara-unas-semanitas-antes-de-comenzar-a-entrenar-para-la-revancha-con-taylor/,Sara Del Valle Hernández
2023-02-05 00:00:00,Amanda Serrano y Katie Taylor tendrán su revancha el 20 de mayo en Irlanda,http://www.primerahora.com/deportes/boxeo/notas/amanda-serrano-y-katie-taylor-tendran-su-revancha-el-20-de-mayo-en-irlanda/,Sara Del Valle Hernández
2023-02-05 00:00:00,Amanda Serrano bajo la intensidad en el cuarto asalto para evitar un ‘no contest’,http://www.primerahora.com/deportes/boxeo/notas/amanda-serrano-bajo-la-intensidad-en-el-cuarto-asalto-para-evitar-un-no-contest/,Sara Del Valle Hernández
2023-03-02 00:00:00,Manatí le tomó la medida a las Pinkin y se las ganó en su casa,http://www.primerahora.com/deportes/voleibol/notas/manati-le-tomo-la-medida-a-las-pinkin-y-se-las-gano-en-su-casa/,Primera Hora
2023-03-01 00:00:00,Yadier Molina y las Pinkin de Corozal se unen para beneficio de pacientes de diabetes,http://www.primerahora.com/deportes/voleibol/notas/yadier-molina-y-las-pinkin-de-corozal-se-unen-para-beneficio-de-pacientes-de-diabetes/,Fernando Ribas Reyes
2023-02-27 00:00:00,Las Leonas de Ponce libran la coca,http://www.primerahora.com/deportes/voleibol/notas/las-leonas-de-ponce-libran-la-coca/,Primera Hora
